"","PortID","PortName","State","PortNameTiCase","County_GEOID","CountyName"
"222","0000","COUNTY TOTAL"," WI","County Total","55009","Brown"
"223","0000","COUNTY TOTAL"," PA","County Total","42017","Bucks"
"224","0000","COUNTY TOTAL"," LA","County Total","22017","Caddo "
"225","0000","COUNTY TOTAL"," LA","County Total","22019","Calcasieu"
"226","0000","COUNTY TOTAL"," TX","County Total","48057","Calhoun"
"227","0000","COUNTY TOTAL"," TX","County Total","22023","Cameron"
"228","0000","COUNTY TOTAL"," NC","County Total","37031","Carteret"
"229","0000","COUNTY TOTAL"," TX","County Total","48071","Chambers"
"230","0000","COUNTY TOTAL"," SC","County Total","45019","Charleston"
"231","0000","COUNTY TOTAL"," MS","County Total","05017","Chicot"
"232","0000","COUNTY TOTAL"," MI","County Total","26033","Chippewa"
"233","0000","COUNTY TOTAL"," WA","County Total","53009","Clallam"
"234","0000","COUNTY TOTAL"," WA","County Total","53011","Clark"
"235","0000","COUNTY TOTAL"," OR","County Total","41007","Clatsop"
"236","0000","COUNTY TOTAL"," GA","County Total","13067","Cobb"
"237","0000","COUNTY TOTAL"," CA","County Total","06013","Contra Costa"
"238","0000","COUNTY TOTAL"," OR","County Total","41011","Coos"
"239","0000","COUNTY TOTAL"," WA","County Total","53015","Cowlitz"
"240","0000","COUNTY TOTAL"," ME","County Total","23005","Cumberland"
"241","0000","COUNTY TOTAL"," OH","County Total","39035","Cuyahoga"
"242","0000","COUNTY TOTAL"," PA","County Total","42045","Delaware"
"243","0000","COUNTY TOTAL"," MI","County Total","26041","Delta"
"244","0000","COUNTY TOTAL"," MD","County Total","24019","Dorchester"
"245","0000","COUNTY TOTAL"," WI","County Total","55031","Douglas"
"246","0000","COUNTY TOTAL"," IL","County Total","17043","DuPage"
"247","0000","COUNTY TOTAL"," GA","County Total","13103","Effingham"
"248","0000","COUNTY TOTAL"," NY","County Total","36029","Erie"
"249","0000","COUNTY TOTAL"," OH","County Total","39043","Erie"
"250","0000","COUNTY TOTAL"," PA","County Total","42049","Erie"
"251","0000","COUNTY TOTAL"," MA","County Total","25009","Essex"
"252","0000","COUNTY TOTAL"," AK","County Total","02090","Fairbanks North Star"
"253","0000","COUNTY TOTAL"," VA","County Total","51059","Fairfax"
"254","0000","COUNTY TOTAL"," CT","County Total","09001","Fairfield"
"255","0000","COUNTY TOTAL"," OH","County Total","39045","Fairfield"
"256","0000","COUNTY TOTAL"," NC","County Total","37067","Forsyth"
"257","0000","COUNTY TOTAL"," TX","County Total","48167","Galveston"
"258","0000","COUNTY TOTAL"," SC","County Total","45043","Georgetown"
"259","0000","COUNTY TOTAL"," GA","County Total","13127","Glynn"
"260","0000","COUNTY TOTAL"," WA","County Total","53027","Grays Harbor"
"261","0000","COUNTY TOTAL"," OH","County Total","39061","Hamilton"
