,fips,cty_name,state,st_name
717,26017,Bay,MI,Michigan
718,26019,Benzie,MI,Michigan
719,26021,Berrien,MI,Michigan
720,26023,Branch,MI,Michigan
721,26025,Calhoun,MI,Michigan
722,26027,Cass,MI,Michigan
723,26029,Charlevoix,MI,Michigan
724,26031,Cheboygan,MI,Michigan
725,26033,Chippewa,MI,Michigan
726,26035,Clare,MI,Michigan
727,26037,Clinton,MI,Michigan
728,26039,Crawford,MI,Michigan
729,26041,Delta,MI,Michigan
730,26043,Dickinson,MI,Michigan
731,26045,Eaton,MI,Michigan
732,26047,Emmet,MI,Michigan
733,26049,Genesee,MI,Michigan
734,26051,Gladwin,MI,Michigan
735,26053,Gogebic,MI,Michigan
736,26055,Grand Traverse,MI,Michigan
737,26057,Gratiot,MI,Michigan
738,26059,Hillsdale,MI,Michigan
739,26061,Houghton,MI,Michigan
740,26063,Huron,MI,Michigan
