,structCompId,complexId.x,abandonFlag,allocMtrFlag,attended8Hr,condenProdFlag,distToShore,drillingFlag,firedVesselFl,gasProdFlag,gasFlaringFlag,mmsCompanyNum,manned24Hr,majCmplxFlag,leaseNum,lastRevDate.x,lactMtrFlag,injectionCode,heliportFlag,workoverFlag,waterProdFlag,waterDepth,tankGaugeFlag,sulfurProdFlag,subdistrictCode,storeTankFlag,rigCount,qtrType,prodEqpmtFlag,productionFlag,powerSourceType,powerGenFlag,oilProdFlag,gasSaleMtrFlag,fldNameCode,districtCode.x,craneCounty,compressorFlag,comglProdFlag,bedCount,areaCode.x,blockNumber.x,meterProverFl,districtCode.y,structNum,areaCode.y,blockNumber.y,structName,srfNrthSthDist,nrthSthDepCode.x,srfEstWstDist.x,estWstDepCode.x,xLoc,yLoc,longitude,latitude,areaCode,blockNumber,complexId.y,deckCount,estWstDepCode.y,installDate,lastRevDate.y,majStructFlg,nrthSthDepCode.y,removalDate,slantSlotCount,slotCount,slotDrillCount,satelliteCompletionCount,structureName,structureNumber,structureTypeCode,srfEstWstDist.y,srfNrtSthDist,underwaterCompCount,authorityType,authorityNumber,authorityStatus,removalYr,installYr
6203,26081_1,26081,Y,N,N,Y,34,N,N,N,N,105,N,N,G10775,16-Mar-07,N,N,N,N,N,80,N,N,NA,N,0,N,N,N,NA,N,N,N,SS191,2,0,N,N,NA,SS,190,N,2,1,SS,190,#3,2002,S,5000,W,2145400,-37944.46,-90.88052,28.56154,SS,190,26081,1,W,1-Jan-94,11-Apr-01,N,S,13-Oct-07,NA,1,1,NA,#3,1,FIXED,5000,2002,NA,OCS LEASE,G10775,TERMIN,2007,1994
6204,26082_1,26082,Y,N,N,N,8,N,N,N,N,1284,N,N,334,27-May-14,N,N,N,N,N,16,N,N,NA,N,0,N,N,N,NA,N,N,N,SS032,2,0,N,N,NA,SS,31,N,2,1,SS,31,10,8434,S,1248,E,2014354,163950.1,-91.28838,29.1175,SS,31,26082,1,E,14-Sep-94,6-Jan-95,N,S,25-Oct-16,NA,1,1,0,10,1,CAIS,1248,8434,0,OCS LEASE,334,TERMIN,2016,1994
6205,26083_1,26083,N,N,N,N,47,N,N,N,N,3151,N,Y,G01959,18-Sep-13,N,N,Y,N,N,152,N,N,NA,N,0,N,Y,N,NA,N,N,N,EI258,3,1,N,N,NA,EI,258,N,3,1,EI,258,J,1989,N,6061,E,1978917,-65563.76,-91.39894,28.48637,EI,258,26083,2,E,5-Dec-94,6-Mar-95,Y,N,NA,NA,2,2,NA,J,1,FIXED,6061,1989,NA,OCS LEASE,G01959,PROD,NA,1994
6206,26084_1,26084,N,N,N,N,5,N,N,N,N,1284,N,N,G01359,4-Jun-14,N,N,N,N,N,12,N,N,NA,N,0,N,Y,N,NA,N,N,N,SS028,2,0,N,N,NA,SS,14,N,2,1,SS,14,A,604,S,7576,W,2054376,170080.6,-91.16303,29.13425,SS,14,26084,1,W,1-Jan-95,22-Apr-96,N,S,NA,NA,1,1,NA,A,1,CAIS,7576,604,NA,OCS LEASE,G01359,UNIT,NA,1995
6207,26085_1,26085,N,N,N,N,50,N,N,N,N,3035,N,Y,G01029,23-Feb-16,N,N,Y,N,N,188,N,N,NA,N,0,N,Y,N,G,Y,N,N,SS246,2,1,N,N,0,SS,248,N,2,1,SS,248,G,5550,N,1900,E,2013700,-101342.6,-91.29074,28.38801,SS,248,26085,3,E,6-Oct-94,30-Oct-15,Y,N,NA,NA,9,3,NA,G,1,FIXED,1900,5550,NA,OCS LEASE,G01029,TERMIN,NA,1994
6208,26086_1,26086,N,N,N,Y,14,N,N,Y,N,1834,N,N,69,2-Aug-13,N,N,N,N,Y,44,N,N,NA,N,0,N,Y,Y,NA,N,N,N,SS 113,2,0,N,N,NA,SS,119,N,2,1,SS,119,W,724,N,6826,W,2131626,57060.3,-90.92235,28.82292,SS,119,26086,2,W,12-Sep-94,21-Dec-11,N,N,NA,NA,4,4,0,W,1,FIXED,6826,724,0,OCS LEASE,69,UNIT,NA,1994
6209,26087_1,26087,Y,N,N,N,55,N,N,N,N,2782,N,N,G01027,30-May-08,N,N,N,N,N,162,N,N,NA,N,0,N,N,N,NA,N,N,N,SS246,2,1,N,N,NA,SS,246,N,2,1,SS,246,H,6385,S,7135,W,2022735,-89407.62,-91.26263,28.42081,SS,246,26087,1,W,20-Oct-94,29-Sep-00,N,S,9-Jun-09,NA,2,2,NA,H,1,CAIS,7135,6385,NA,OCS LEASE,G01027,TERMIN,2009,1994
6210,26088_1,26088,Y,N,N,N,55,N,N,N,N,2628,N,N,G07736,27-Aug-15,N,N,N,N,N,165,N,N,NA,N,0,NA,N,N,NA,N,N,N,EI238,3,1,N,N,NA,EI,262,N,3,1,EI,262,B,376,N,3606,W,1913473,-63950.76,-91.60261,28.49054,EI,262,26088,3,W,14-Sep-94,27-Dec-12,Y,N,2-Jul-14,NA,9,5,NA,B,1,FIXED,3606,376,NA,OCS LEASE,G07736,RELINQ,2014,1994
6211,26089_1,26089,Y,N,N,N,26,N,N,N,N,1284,N,N,229,1-Nov-17,N,N,N,N,N,22,N,N,NA,N,0,N,N,N,NA,N,N,N,EI089,3,0,N,N,NA,EI,90,N,3,1,EI,90,12,312,S,2518,E,1862283,154218.9,-91.76447,29.09003,EI,90,26089,1,E,24-Mar-95,19-Oct-95,N,S,3-May-17,NA,1,1,NA,12,1,CAIS,2518,312,NA,OCS LEASE,229,TERMIN,2017,1995
6212,26091_1,26091,Y,N,N,N,63,N,Y,N,N,148,N,Y,G10782,5-Jan-98,N,N,Y,N,N,160,N,N,NA,N,NA,P,Y,N,NA,Y,N,N,SS274,2,1,Y,N,6,SS,251,N,2,1,SS,251,A,855,S,3846,E,2058554,-108899.2,-91.15133,28.36711,SS,251,26091,3,E,1-Jan-95,3-May-95,Y,S,7-Sep-98,NA,3,2,0,A,1,FIXED,3846,855,0,OCS LEASE,G10782,TERMIN,1998,1995
