"State","Nmfsname"
"Florida-West","Porgy, Knobbed"
"Florida-West","Squids, Loliginidae"
"Florida-West","Rudderfish, Banded"
"Florida-West","Runner, Blue"
"Florida-West","Brotula, Bearded"
"Florida-West","Seatrout, Sand"
"Florida-West","Lobsters, Slipper"
"Florida-West","Bluefish"
"Florida-West","Wenchman"
"Florida-West","Sponges"
"Florida-West","Jack, Almaco"
"Florida-West","Amberjack, Lesser"
"Florida-West","Shark, Blacktip"
"Florida-West","Permit"
"Florida-West","Seatrout, Spotted"
"Florida-West","Tuna, Little Tunny"
"Florida-West","Scad, Bigeye"
"Florida-West","Jacks"
"Florida-West","Snapper, Lane"
"Florida-West","Porgy, Red"
"Florida-West","Snapper, Queen"
"Florida-West","Tilapias"
"Florida-West","Grouper, Warsaw"
"Florida-West","Wahoo"
"Florida-West","Mullet, White"
"Florida-West","Triggerfishes"
"Florida-West","Hogfish"
"Florida-West","Sharks, Chondrichthyes"
"Florida-West","Tilefish, Blueline"
"Florida-West","Hind, Speckled"
"Florida-West","Scads"
"Florida-West","Sheepshead"
"Florida-West","Ladyfish"
"Florida-West","Pinfish"
"Florida-West","Bass, Black Sea"
"Florida-West","Sponge, Grass"
"Florida-West","Harvestfishes"
"Florida-West","Flatfishes"
"Florida-West","Cobia"
"Florida-West","Porgies"
"Florida-West","Mojarras"
"Florida-West","Shrimps, Penaeoid"
"Florida-West","Jack, Crevalle"
"Florida-West","Shrimp, Royal Red"
"Florida-West","Crustaceans"
"Florida-West","Sponge, Yellow"
"Florida-West","Shark, Sandbar"
"Florida-West","Mackerel, Spanish"
"Florida-West","Snapper, Mutton"
"Florida-West","Herring, Atlantic Thread"
"Florida-West","Sponge, Sheepswool"
"Florida-West","Snapper, Silk"
"Florida-West","Scamp"
"Florida-West","Grouper, Snowy"
"Florida-West","Vertebrates, Jawed"
"Florida-West","Crab, Golden Deepsea"
"Florida-West","Tilefish, Golden"
"Florida-West","Snapper, Gray"
"Florida-West","Grunts, Haemulidae"
"Florida-West","Swordfish"
"Florida-West","Dolphinfish"
"Florida-West","Tuna, Yellowfin"
"Florida-West","Ballyhoo"
"Florida-West","Sharks"
"Florida-West","Shrimps, Rock"
"Florida-West","Amberjack, Greater"
"Florida-West","Sardine, Spanish"
"Florida-West","Shrimp, Northern White"
"Florida-West","Pompano, Florida"
"Florida-West","Grouper, Black"
"Florida-West","Mackerel, King And Cero"
"Florida-West","Snapper, Red"
"Florida-West","Snapper, Vermilion"
"Florida-West","Grouper, Yellowedge"
"Florida-West","Snapper, Yellowtail"
"Florida-West","Shrimp, Northern Brown"
"Florida-West","Oyster, Eastern"
"Florida-West","Shrimp, Marine"
"Florida-West","Mullet, Striped"
"Florida-West","Clams, Quahog, Mercenaria"
"Florida-West","Grouper, Gag"
"Florida-West","Crab, Blue"
"Florida-West","Grouper, Red"
"Florida-West","Lobster, Caribbean Spiny"
"Florida-West","Crab, Florida Stone"
"Florida-West","Shrimp, Northern Pink"
"Georgia","All Species"
"Georgia","Crustaceans"
"Georgia","Crab, Florida Stone"
"Georgia","Bass, Black Sea"
"Georgia","Sharks, Chondrichthyes"
"Georgia","Drum, Red"
"Georgia","Shad, Hickory"
"Georgia","Flatfishes"
"Georgia","Porgies"
"Georgia","Seatrout, Spotted"
"Georgia","Shrimp, Royal Red"
"Georgia","Groupers, Serranidae"
"Georgia","Dolphinfish"
"Georgia","Oyster, Eastern"
"Georgia","Mackerel, King And Cero"
"Georgia","Kingfishes"
"Georgia","Snapper, Red"
"Georgia","Triggerfishes"
"Georgia","Shad, American"
"Georgia","Amberjacks"
"Georgia","Shrimps, Rock"
"Georgia","Clams, Quahog, Mercenaria"
"Georgia","Vertebrates, Jawed"
"Georgia","Conchs, True"
"Georgia","Snapper, Vermilion"
