"","PortID","PortName","ExpTotValue","ExpContainerValue","ExpContainerWeight","time","Year","State","PortNameTiCase","County_GEOID","CountyName","ImpContainerValue","ImpContainerWt","TotPortWt","TotPortContainerVal","TotPortVal","rnkTotValue","rnkTotPortWt","rnkExpValue","rnkExpContainerWt","rnkImpContainerVal","rnkImpContainerWt"
"118","2004","BATON ROUGE, LA",8833326631,218932231,496056265,"2018-12","2018"," LA","Baton Rouge","22121","West Baton Rouge",80388636,277020980,773077245,299320867,8913715267,32,30,54,33,43,28
"119","2004","BATON ROUGE, LA",7460960888,114575698,326293073,"2019-12","2019"," LA","Baton Rouge","22121","West Baton Rouge",98177370,312081969,638375042,212753068,7559138258,32,30,54,33,43,28
"120","2004","BATON ROUGE, LA",6526925614,46180150,96105359,"2020-12","2020"," LA","Baton Rouge","22121","West Baton Rouge",70570191,495339574,591444933,116750341,6597495805,32,30,54,33,43,28
"121","2004","BATON ROUGE, LA",7537799458,16516072,32865075,"2021-12","2021"," LA","Baton Rouge","22121","West Baton Rouge",88090010,241009202,273874277,104606082,7625889468,32,30,54,33,43,28
"122","1511","BEAUFORT-MOREHEAD CITY, NC",371087732,563400,5101835,"2013-12","2013"," NC","Beaufort-Morehead Cty","37031","Carteret",311867276,129399246,134501081,312430676,682955008,82,54,104,86,42,47
"123","1511","BEAUFORT-MOREHEAD CITY, NC",231265881,439557,2108800,"2014-12","2014"," NC","Beaufort-Morehead Cty","37031","Carteret",235874216,137242223,139351023,236313773,467140097,82,54,104,86,42,47
"124","1511","BEAUFORT-MOREHEAD CITY, NC",265479620,56984,18601,"2015-12","2015"," NC","Beaufort-Morehead Cty","37031","Carteret",192643061,163304310,163322911,192700045,458122681,82,54,104,86,42,47
"125","1511","BEAUFORT-MOREHEAD CITY, NC",270293978,2105000,3029283,"2016-12","2016"," NC","Beaufort-Morehead Cty","37031","Carteret",187545537,118614013,121643296,189650537,457839515,82,54,104,86,42,47
"126","1511","BEAUFORT-MOREHEAD CITY, NC",259399881,319319,285424,"2017-12","2017"," NC","Beaufort-Morehead Cty","37031","Carteret",127134624,74154852,74440276,127453943,386534505,82,54,104,86,42,47
"127","1511","BEAUFORT-MOREHEAD CITY, NC",651005140,962373,25266,"2018-12","2018"," NC","Beaufort-Morehead Cty","37031","Carteret",179059016,142171615,142196881,180021389,830064156,82,54,104,86,42,47
